transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000537,card_00147,2026-01-24T09:11:10Z,entertainment,False,False,dev_003687,US,31835
txn_0000538,card_00264,2026-01-28T22:04:10Z,pharmacy,True,False,dev_002450,AE,4184
txn_0000539,card_00267,2026-01-13T06:22:48Z,electronics,False,False,dev_003344,AE,9558
txn_0000540,card_00492,2026-01-20T23:52:21Z,restaurant,True,False,dev_000423,SG,2090
txn_0000541,card_00388,2026-01-24T15:24:23Z,restaurant,True,False,dev_004584,AE,2406
txn_0000542,card_00671,2026-01-06T11:19:21Z,grocery,True,False,dev_002638,IN,2551
txn_0000543,card_00283,2026-01-22T22:28:33Z,online_retail,False,False,dev_000852,AE,3299
txn_0000544,card_00406,2026-01-07T02:48:11Z,atm_withdrawal,False,False,dev_004277,US,4606
txn_0000545,card_00359,2026-01-12T03:41:12Z,fuel,True,False,dev_003846,GB,19456
txn_0000546,card_00213,2026-01-06T02:51:10Z,travel,True,False,dev_001823,IN,2927
txn_0000547,card_00748,2026-01-01T05:11:36Z,online_retail,True,False,dev_000474,DE,24160
txn_0000548,card_00102,2026-01-01T16:06:51Z,grocery,True,False,dev_000523,SG,2091
txn_0000549,card_00094,2026-01-14T22:42:45Z,entertainment,True,False,dev_003069,IN,5891
txn_0000550,card_00645,2026-01-11T13:07:16Z,pharmacy,True,False,dev_004295,AE,4979
txn_0000551,card_00461,2026-01-10T09:36:10Z,fuel,False,False,dev_003544,DE,8031
txn_0000552,card_00774,2026-01-17T02:13:25Z,grocery,True,False,dev_002492,SG,10030
txn_0000553,card_00886,2026-01-28T00:07:30Z,utilities,True,False,dev_004133,SG,15502
txn_0000554,card_00414,2026-01-06T07:02:44Z,pharmacy,True,False,dev_002865,DE,2993
txn_0000555,card_00842,2026-01-01T15:16:26Z,utilities,False,False,dev_000363,DE,703
txn_0000556,card_00391,2026-01-06T15:14:44Z,restaurant,False,False,dev_003586,AE,1375
txn_0000557,card_00877,2026-01-07T13:38:28Z,travel,True,False,dev_002372,IN,6969
txn_0000558,card_00284,2026-01-14T19:41:45Z,restaurant,False,False,dev_004112,DE,761
txn_0000559,card_00312,2026-01-04T23:03:47Z,fuel,False,False,dev_003339,DE,13957
txn_0000560,card_00541,2026-01-14T20:41:00Z,pharmacy,True,False,dev_002460,US,1707
txn_0000561,card_00274,2026-01-12T12:00:37Z,pharmacy,True,False,dev_002998,DE,16327
txn_0000562,card_00841,2026-01-01T19:57:26Z,atm_withdrawal,True,False,dev_001371,US,44171
txn_0000563,card_00324,2026-01-13T01:01:09Z,utilities,False,False,dev_001070,US,6510
txn_0000564,card_00653,2026-01-01T16:02:46Z,pharmacy,False,False,dev_003836,AE,32132
txn_0000565,card_00622,2026-01-04T18:29:44Z,fuel,False,False,dev_003977,US,19571
txn_0000566,card_00768,2026-01-23T05:04:11Z,grocery,False,False,dev_002311,DE,36910
txn_0000567,card_00658,2026-01-29T02:58:52Z,online_retail,False,False,dev_002850,AE,14642
txn_0000568,card_00498,2026-01-01T06:17:49Z,travel,True,False,dev_001924,SG,5031
txn_0000569,card_00426,2026-01-16T19:52:37Z,utilities,True,False,dev_004494,DE,9886
txn_0000570,card_00750,2026-01-06T06:33:51Z,online_retail,True,False,dev_002072,DE,156952
txn_0000571,card_00413,2026-01-18T23:56:47Z,fuel,True,False,dev_004811,GB,11138
txn_0000572,card_00130,2026-01-18T21:38:04Z,atm_withdrawal,False,False,dev_004481,IN,1232
txn_0000573,card_00443,2026-01-02T21:19:37Z,electronics,False,False,dev_001046,IN,3675
txn_0000574,card_00779,2026-01-14T14:05:07Z,entertainment,True,False,dev_000410,IN,7572
txn_0000575,card_00557,2026-01-25T19:25:32Z,restaurant,False,False,dev_001244,GB,4971
txn_0000576,card_00065,2026-01-17T09:49:35Z,pharmacy,True,False,dev_003360,SG,17326
txn_0000577,card_00789,2026-01-05T10:03:16Z,pharmacy,True,False,dev_003448,SG,326
txn_0000578,card_00230,2026-01-03T12:54:38Z,atm_withdrawal,True,False,dev_000668,IN,16068
txn_0000579,card_00466,2026-01-02T10:53:39Z,utilities,False,False,dev_000200,US,6135
txn_0000580,card_00581,2026-01-15T22:27:21Z,travel,True,False,dev_002243,GB,1269
txn_0000581,card_00330,2026-01-02T07:37:52Z,utilities,True,False,dev_000300,AE,8861
txn_0000582,card_00639,2026-01-11T14:17:05Z,online_retail,False,False,dev_001046,AE,1203
txn_0000583,card_00426,2026-01-06T13:20:51Z,restaurant,True,False,dev_002884,AE,2354
txn_0000584,card_00287,2026-01-27T09:09:00Z,fuel,True,False,dev_002157,AE,10384
txn_0000585,card_00225,2026-01-24T19:01:52Z,travel,False,False,dev_003274,US,5063
txn_0000586,card_00283,2026-01-08T22:30:45Z,online_retail,False,True,dev_004205,SG,49844
txn_0000587,card_00445,2026-01-20T12:33:01Z,pharmacy,False,False,dev_004240,SG,1616
txn_0000588,card_00250,2026-01-20T12:38:15Z,entertainment,True,False,dev_002215,DE,3332
txn_0000589,card_00075,2026-01-25T11:57:43Z,pharmacy,True,False,dev_004756,IN,2961
txn_0000590,card_00728,2026-01-03T06:12:15Z,fuel,False,False,dev_002012,DE,10949
txn_0000591,card_00535,2026-01-11T19:25:18Z,fuel,True,False,dev_004245,AE,2158
txn_0000592,card_00255,2026-01-27T07:34:03Z,grocery,True,False,dev_001594,GB,870
txn_0000593,card_00731,2026-01-26T01:56:41Z,restaurant,False,False,dev_002027,AE,34989
txn_0000594,card_00579,2026-01-05T07:08:12Z,online_retail,False,False,dev_003395,US,1918
txn_0000595,card_00254,2026-01-22T18:47:42Z,travel,False,False,dev_003456,AE,12935
txn_0000596,card_00818,2026-01-01T06:31:24Z,pharmacy,True,False,dev_003698,DE,17127
txn_0000597,card_00440,2026-01-18T05:23:20Z,online_retail,True,False,dev_003866,GB,8494
txn_0000598,card_00164,2026-01-03T04:23:54Z,grocery,True,False,dev_004181,US,4173
txn_0000599,card_00242,2026-01-26T09:57:42Z,entertainment,True,False,dev_004426,IN,9141
txn_0000600,card_00061,2026-01-09T20:48:04Z,atm_withdrawal,False,False,dev_004508,IN,8171
txn_0000601,card_00129,2026-01-06T12:35:54Z,utilities,False,False,dev_001623,AE,1479
txn_0000602,card_00339,2026-01-21T06:22:02Z,atm_withdrawal,True,False,dev_002973,SG,16914
txn_0000603,card_00726,2026-01-20T10:06:23Z,utilities,True,False,dev_000011,GB,14684
txn_0000604,card_00134,2026-01-30T06:55:27Z,online_retail,True,False,dev_004847,US,11080
txn_0000605,card_00861,2026-01-03T11:43:57Z,atm_withdrawal,True,False,dev_001932,SG,1719
txn_0000606,card_00123,2026-01-05T19:41:24Z,travel,False,False,dev_000308,US,2274
txn_0000607,card_00174,2026-01-25T07:08:07Z,utilities,True,False,dev_001890,IN,8902
txn_0000608,card_00355,2026-01-30T16:27:52Z,electronics,True,False,dev_004560,GB,16077
txn_0000609,card_00141,2026-01-27T11:40:10Z,utilities,False,False,dev_002292,IN,5700
txn_0000610,card_00605,2026-01-21T16:46:06Z,atm_withdrawal,True,False,dev_001615,US,4279
txn_0000611,card_00652,2026-01-17T03:14:11Z,electronics,False,False,dev_001187,IN,14653
txn_0000612,card_00015,2026-01-11T18:59:17Z,grocery,True,False,dev_004794,AE,29356
txn_0000613,card_00655,2026-01-20T00:45:30Z,grocery,True,False,dev_001403,SG,15582
txn_0000614,card_00069,2026-01-12T23:54:43Z,atm_withdrawal,False,False,dev_004808,IN,6487
txn_0000615,card_00441,2026-01-07T23:44:41Z,travel,False,False,dev_002683,DE,41164
txn_0000616,card_00887,2026-01-02T03:39:00Z,pharmacy,False,True,dev_003920,US,86244
txn_0000617,card_00187,2026-01-05T02:21:50Z,restaurant,False,False,dev_001565,AE,2912
txn_0000618,card_00295,2026-01-11T17:33:26Z,grocery,False,True,dev_002918,GB,45779
txn_0000619,card_00297,2026-01-02T23:53:56Z,fuel,False,False,dev_002965,DE,140
txn_0000620,card_00840,2026-01-04T17:12:54Z,pharmacy,False,False,dev_000511,GB,3456
txn_0000621,card_00197,2026-01-11T11:48:56Z,electronics,True,True,dev_000838,IN,9953
txn_0000622,card_00856,2026-01-13T20:47:59Z,atm_withdrawal,True,False,dev_003287,AE,13766
txn_0000623,card_00508,2026-01-25T05:47:33Z,electronics,True,False,dev_000371,US,75929
txn_0000624,card_00302,2026-01-13T12:11:02Z,travel,True,False,dev_001593,AE,4242
